Day_0,Day_T,Time_0,Time_T,Duration,Moscow,Nizhny,Night_I,Night_A,Train,Note
3-May-23,4-May-23,17:40,17:40,1440.00,0.00,1.00,1.00,0.00,0.00,
7-May-23,7-May-23,20:00,22:40,160.00,0.00,1.00,0.00,0.00,0.00,
9-May-23,9-May-23,15:25,21:20,355.00,0.00,1.00,0.00,0.00,0.00,
11-May-23,12-May-23,18:35,15:30,1255.00,0.00,1.00,1.00,0.00,0.00,
14-May-23,14-May-23,14:50,18:10,200.00,0.00,1.00,0.00,0.00,0.00,
19-May-23,19-May-23,18:40,21:00,140.00,0.00,1.00,0.00,0.00,0.00,
21-May-23,22-May-23,14:00,15:00,1500.00,0.00,1.00,1.00,0.00,0.00,
22-May-23,22-May-23,17:20,19:05,105.00,0.00,1.00,0.00,0.00,0.00,
26-May-23,27-May-23,13:30,12:30,1380.00,0.00,1.00,1.00,0.00,2.00,
31-May-23,1-Jun-23,17:45,15:00,1275.00,0.00,1.00,1.00,0.00,0.00,
3-Jun-23,4-Jun-23,17:55,17:35,1420.00,0.00,1.00,1.00,0.00,0.00,
6-Jun-23,6-Jun-23,16:30,20:00,210.00,0.00,1.00,0.00,0.00,0.00,
10-Jun-23,11-Jun-23,10:00,16:55,1855.00,0.00,1.00,1.00,0.00,0.00,
14-Jun-23,14-Jun-23,16:00,22:10,370.00,0.00,1.00,0.00,0.00,0.00,
15-Jun-23,15-Jun-23,16:15,20:50,275.00,0.00,1.00,0.00,0.00,0.00,
16-Jun-23,17-Jun-23,18:15,22:40,1705.00,0.00,1.00,1.00,0.00,0.00,
19-Jun-23,19-Jun-23,16:00,21:30,330.00,0.00,1.00,0.00,0.00,0.00,
21-Jun-23,22-Jun-23,16:00,14:35,1355.00,0.00,1.00,1.00,0.00,0.00,
26-Jun-23,26-Jun-23,18:15,22:15,240.00,0.00,1.00,0.00,0.00,0.00,
29-Jun-23,29-Jun-23,11:25,16:20,295.00,0.00,1.00,0.00,0.00,0.00,
1-Jul-23,2-Jul-23,15:25,16:10,1485.00,0.00,1.00,1.00,0.00,0.00,
3-Jul-23,3-Jul-23,15:30,17:20,110.00,0.00,1.00,0.00,0.00,0.00,
5-Jul-23,6-Jul-23,13:55,7:40,1065.00,0.00,1.00,1.00,0.00,0.00,
7-Jul-23,8-Jul-23,21:00,8:00,660.00,0.00,1.00,1.00,0.00,0.00,
9-Jul-23,10-Jul-23,19:05,7:55,770.00,0.00,1.00,1.00,0.00,0.00,
12-Jul-23,13-Jul-23,18:15,13:45,1170.00,0.00,1.00,1.00,0.00,0.00,
14-Jul-23,14-Jul-23,12:35,15:40,185.00,0.00,1.00,0.00,0.00,1.00,
24-Jul-23,24-Jul-23,12:40,18:35,355.00,1.00,0.00,0.00,0.00,0.00,
27-Jul-23,27-Jul-23,12:50,19:35,405.00,1.00,0.00,0.00,0.00,0.00,
29-Jul-23,29-Jul-23,14:55,20:15,320.00,1.00,0.00,0.00,0.00,0.00,
1-Aug-23,1-Aug-23,13:05,19:55,410.00,1.00,0.00,0.00,0.00,0.00,
3-Aug-23,3-Aug-23,13:55,18:30,275.00,1.00,0.00,0.00,0.00,0.00,
5-Aug-23,5-Aug-23,17:00,21:45,285.00,1.00,1.00,0.00,0.00,2.00,
6-Aug-23,7-Aug-23,14:25,14:40,1455.00,0.00,1.00,1.00,0.00,0.00,
8-Aug-23,8-Aug-23,17:25,20:25,180.00,0.00,1.00,0.00,0.00,0.00,
9-Aug-23,9-Aug-23,11:50,16:15,265.00,0.00,1.00,0.00,0.00,0.00,
11-Aug-23,11-Aug-23,12:10,19:20,430.00,0.00,1.00,0.00,0.00,0.00,
12-Aug-23,13-Aug-23,15:15,17:05,1550.00,1.00,1.00,1.00,0.00,2.00,
16-Aug-23,16-Aug-23,11:30,18:20,410.00,1.00,0.00,0.00,0.00,0.00,
17-Aug-23,17-Aug-23,13:35,19:00,325.00,1.00,0.00,0.00,0.00,0.00,
20-Aug-23,20-Aug-23,15:25,19:40,255.00,1.00,0.00,0.00,0.00,0.00,
22-Aug-23,22-Aug-23,15:10,19:15,245.00,1.00,0.00,0.00,0.00,0.00,
24-Aug-23,24-Aug-23,14:15,20:15,360.00,1.00,0.00,0.00,0.00,0.00,
27-Aug-23,27-Aug-23,10:45,18:00,435.00,1.00,0.00,0.00,0.00,0.00,
29-Aug-23,29-Aug-23,14:00,19:10,310.00,1.00,0.00,0.00,0.00,0.00,
30-Aug-23,31-Aug-23,17:00,8:45,945.00,1.00,1.00,1.00,0.00,2.00,
31-Aug-23,31-Aug-23,16:25,20:05,220.00,0.00,1.00,0.00,0.00,0.00,
